screen_name,following,followers,favourites_count,verified
Lucia_IDYU,310,282,336,False
AeBriones17,635,475,3343,False
ValeriaMacias_,2168,2464,6957,False
vidalmerchan23,974,150,22225,False
Crisseli11,176,188,8453,False
epelaezg,1014,319,3276,False
AyleenRuiz123,180,465,33536,False
Campoverde44,302,343,3020,False
jcampuza,803,445,9278,False
milton_roseroe,647,299,1098,False
melaniezp2,111,51,5832,False
axelonian,1007,1286,16927,False
AElopz,24,23,111,False
DohkoLP,631,196,7051,False
vbarbery,520,4854,9367,False
charlieanz27_,199,173,896,False
jorgeisaac,2028,1006,4552,False
Miitiii,141,398,1141,False
LiQuirola,1002,246,6848,False
LidaValdiviezo,267,317,1242,False
delbarceloyosoy,46,1799,1091,False
iandradetorres,750,262,1872,False
andrs_rv,585,220,5663,False
kikebravos,200,112,2330,False
drogolo_,140,863,4036,False
mjizquierdo,1149,800,3823,False
adrianjzamora,471,554,1044,False
joseparedesv4,151,99,2645,False
colamericanogye,50,889,82,False
Dr_PEMP,470,1160,7147,False
CancilleriaEcZ8,2597,2328,1829,False
sanchez_ibra,679,24,63,False
MabelSelenaCel3,432,443,51474,False
ELBARTOBSC,1230,484,3329,False
dominicksg,868,1053,6396,False
ARCSA_CZ5,1015,1920,5354,False
gymelolimpoec,36,12,47,False
christianilling,255,18,144,False
CJIVAMUKTI,249,323,62,False
leonessaordonez,840,150,1130,False
papicruz1974,461,76,7299,False
jonatitorr,5007,444,39449,False
ricardobonifaz,624,613,234,False
PaolytahB,573,774,283,False
fmoral1959,188,498,2080,False
AndreaVillon4,35,2,118,False
juancarlostq90,529,170,987,False
mtandazo16,503,470,1154,False
klebersorianoz,31,51,1128,False
VelizJeff,369,664,9805,False
CharlingX,139,155,5718,False
jaseto2011,826,1896,2795,False
jp11d,383,277,2624,False
AriannaOchoaG_,800,1512,845,False
Fabricioescorza,421,90,115,False
cristinaechever,365,57,2720,False
Tell75NC,309,56,313,False
ericksorianoo,327,420,4016,False
ximefloresg,4303,1018,41471,False
bautistersogas1,206,88,23804,False
ariannabananana,406,496,5992,False
